,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,90+
0,0.11%,0.18%,0.25%,0.38%,0.57%,0.87%,1.33%,2.03%,3.10%,4.69%,7.00%,10.22%,14.53%,19.81%,25.28%,30.39%,34.48%,37.15%,38.90%
,"(0.1034,","(0.1717,","(0.2493,","(0.3710,","(0.5620,","(0.8616,","(1.3251,","(2.0215,","(3.0880,","(4.6782,","(6.9818,","(10.1930,","(14.4997,","(19.7732,","(25.2419,","(30.3414,","(34.4270,","(37.0921,","(38.8450,"
,0.1092),0.1789),0.2576),0.3808),0.5739),0.8759),1.3424),2.0427),3.1143),4.7109),7.0218),10.2412),14.5573),19.8417),25.3220),30.4336),34.5306),37.2041),38.9640)
,,,,,,,,,,,,,,,,,,,
5,,0.07%,0.15%,0.27%,0.47%,0.77%,1.24%,1.95%,3.03%,4.64%,6.97%,10.22%,14.57%,19.91%,25.44%,30.60%,34.73%,37.43%,39.21%
,,"(0.0681,","(0.1461,","(0.2687,","(0.4615,","(0.7640,","(1.2322,","(1.9358,","(3.0134,","(4.6203,","(6.9479,","(10.1928,","(14.5446,","(19.8734,","(25.3994,","(30.5524,","(34.6809,","(37.3740,","(39.1452,"
,,0.0713),0.1513),0.2762),0.4715),0.7769),1.2485),1.9562),3.0391),4.6525),6.9877),10.2409),14.6023),19.9422),25.4799),30.6451),34.7851),37.4866),39.2650)
,,,,,,,,,,,,,,,,,,,
10,,,0.08%,0.20%,0.40%,0.70%,1.17%,1.88%,2.96%,4.57%,6.91%,10.16%,14.52%,19.86%,25.40%,30.57%,34.71%,37.41%,39.18%
,,,"(0.0774,","(0.1998,","(0.3927,","(0.6956,","(1.1642,","(1.8687,","(2.9476,","(4.5564,","(6.8870,","(10.1359,","(14.4933,","(19.8287,","(25.3617,","(30.5212,","(34.6549,","(37.3513,","(39.1248,"
,,,0.0808),0.2061),0.4019),0.7078),1.1800),1.8887),2.9730),4.5885),6.9266),10.1840),14.5508),19.8975),25.4421),30.6139),34.7591),37.4641),39.2447)
,,,,,,,,,,,,,,,,,,,
15,,,,0.12%,0.32%,0.62%,1.09%,1.80%,2.89%,4.50%,6.84%,10.10%,14.47%,19.82%,25.36%,30.54%,34.68%,37.39%,39.17%
,,,,"(0.1219,","(0.3148,","(0.6179,","(1.0873,","(1.7928,","(2.8734,","(4.4848,","(6.8192,","(10.0734,","(14.4378,","(19.7820,","(25.3240,","(30.4918,","(34.6323,","(37.3331,","(39.1095,"
,,,,0.1262),0.3227),0.6293),1.1024),1.8123),2.8984),4.5166),6.8586),10.1213),14.4953),19.8507),25.4044),30.5846),34.7366),37.4460),39.2295)
,,,,,,,,,,,,,,,,,,,
20,,,,,0.20%,0.50%,0.97%,1.68%,2.77%,4.39%,6.74%,10.01%,14.40%,19.77%,25.33%,30.53%,34.69%,37.40%,39.19%
,,,,,"(0.1927,","(0.4965,","(0.9674,","(1.6754,","(2.7599,","(4.3772,","(6.7202,","(9.9865,","(14.3671,","(19.7311,","(25.2937,","(30.4808,","(34.6367,","(37.3476,","(39.1305,"
,,,,,0.1981),0.5062),0.9813),1.6940),2.7843),4.4085),6.7593),10.0342),14.4245),19.7999),25.3743),30.5737),34.7411),37.4607),39.2508)
,,,,,,,,,,,,,,,,,,,
25,,,,,,0.31%,0.78%,1.50%,2.59%,4.22%,6.59%,9.88%,14.29%,19.70%,25.30%,30.53%,34.72%,37.45%,39.25%
,,,,,,"(0.3047,","(0.7780,","(1.4903,","(2.5816,","(4.2092,","(6.5672,","(9.8544,","(14.2632,","(19.6617,","(25.2601,","(30.4806,","(34.6632,","(37.3915,","(39.1859,"
,,,,,,0.3112),0.7899),1.5075),2.6050),4.2398),6.6058),9.9019),14.3205),19.7305),25.3408),30.5738),34.7680),37.5050),39.3068)
,,,,,,,,,,,,,,,,,,,
30,,,,,,,0.48%,1.20%,2.31%,3.95%,6.34%,9.66%,14.11%,19.56%,25.22%,30.49%,34.72%,37.47%,39.29%
,,,,,,,"(0.4762,","(1.1942,","(2.2950,","(3.9370,","(6.3161,","(9.6328,","(14.0812,","(19.5282,","(25.1770,","(30.4444,","(34.6646,","(37.4175,","(39.2281,"
,,,,,,,0.4843),1.2091),2.3168),3.9666),6.3540),9.6798),14.1383),19.5970),25.2579),30.5380),34.7700),37.5317),39.3496)
,,,,,,,,,,,,,,,,,,,
35,,,,,,,,0.73%,1.85%,3.51%,5.93%,9.29%,13.80%,19.32%,25.04%,30.38%,34.65%,37.45%,39.28%
,,,,,,,,"(0.7251,","(1.8384,","(3.5000,","(5.9079,","(9.2649,","(13.7675,","(19.2809,","(24.9985,","(30.3302,","(34.6019,","(37.3883,","(39.2210,"
,,,,,,,,0.7352),1.8573),3.5277),5.9446),9.3111),13.8242),19.3496),25.0796),30.4242),34.7079),37.5033),39.3435)
,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,1.14%,2.83%,5.28%,8.70%,13.28%,18.89%,24.71%,30.13%,34.48%,37.32%,39.18%
,,,,,,,,,"(1.1293,","(2.8171,","(5.2637,","(8.6753,","(13.2513,","(18.8546,","(24.6656,","(30.0843,","(34.4258,","(37.2577,","(39.1203,"
,,,,,,,,,1.1425),2.8413),5.2982),8.7201),13.3071),18.9230),24.7468),30.1788),34.5326),37.3737),39.2440)
,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,1.73%,4.24%,7.73%,12.42%,18.16%,24.11%,29.66%,34.10%,37.00%,38.91%
,,,,,,,,,,"(1.7233,","(4.2242,","(7.7127,","(12.3923,","(18.1228,","(24.0657,","(29.6075,","(34.0475,","(36.9438,","(38.8487,"
,,,,,,,,,,1.7401),4.2542),7.7546),12.4463),18.1902),24.1467),29.7024),34.1553),37.0611),38.9739)
,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,2.59%,6.20%,11.03%,16.96%,23.10%,28.83%,33.42%,36.42%,38.39%
